-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2005 through 09/30/2005 
Location: Latitude  28.42   Longitude 77.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2005,7,1,3.27,35.22,37.66,17.03,47.94,0.07,97.03
2005,7,2,2.34,34.19,36.59,17.82,52.75,4.04,97.05
2005,7,3,2.09,33.19,35.51,18.25,56.62,4.58,97.07
2005,7,4,2.22,32.36,34.73,17.46,56.94,1.34,97.02
2005,7,5,3.01,29.38,30.73,18.01,68.56,8.42,97.04
2005,7,6,3.5,27.65,28.05,19.84,82.75,36.44,97.16
2005,7,7,3.91,28.49,28.53,19.78,79.44,22.78,97.1
2005,7,8,2.7,31.9,33.32,19.59,66.12,0.07,97.24
2005,7,9,1.62,34.2,35.69,18.98,56.25,0.24,97.14
2005,7,10,2.27,34.73,36.21,18.55,53.56,0.12,97.11
2005,7,11,2.89,31.0,31.57,21.12,73.94,36.45,97.42
2005,7,12,1.96,29.08,29.48,20.94,81.38,16.34,97.53
2005,7,13,1.33,27.78,27.98,20.94,86.94,6.92,97.42
2005,7,14,1.7,28.56,28.95,20.69,82.69,9.68,97.55
2005,7,15,2.01,29.83,30.78,20.14,75.75,1.17,97.66
2005,7,16,2.87,29.7,30.69,19.96,75.5,0.52,97.55
2005,7,17,1.97,28.98,29.76,19.47,76.31,11.84,97.4
2005,7,18,3.01,29.99,30.47,19.96,74.25,6.86,97.43
2005,7,19,2.85,31.42,31.98,19.35,67.25,0.43,97.47
2005,7,20,3.02,32.25,32.49,18.49,61.12,0.05,97.24
2005,7,21,2.54,32.85,33.15,18.31,58.81,0.49,97.18
2005,7,22,2.56,32.94,33.43,18.49,58.81,2.35,97.08
2005,7,23,2.16,32.92,33.55,18.31,58.69,0.74,97.1
2005,7,24,1.41,32.19,33.34,19.29,63.69,0.2,97.15
2005,7,25,1.7,32.18,33.44,19.35,64.0,0.59,97.07
2005,7,26,2.93,30.47,31.35,19.96,71.69,2.94,97.14
2005,7,27,2.76,30.67,31.75,19.65,70.62,0.49,97.19
2005,7,28,2.26,30.99,31.94,19.65,68.94,0.36,97.1
2005,7,29,1.6,31.49,32.87,20.02,68.31,5.26,97.05
2005,7,30,1.38,31.22,32.3,20.39,70.12,3.71,97.05
2005,7,31,0.77,31.87,32.34,20.51,67.88,1.08,97.03
2005,8,1,2.41,32.33,33.12,20.57,66.69,0.09,96.99
2005,8,2,2.62,32.4,33.69,20.08,65.75,0.03,96.96
2005,8,3,2.17,32.16,33.33,20.08,66.31,0.16,97.1
2005,8,4,1.15,31.68,32.47,21.12,70.56,17.74,97.18
2005,8,5,1.37,33.11,33.63,20.75,64.88,14.82,96.97
2005,8,6,2.48,32.1,32.65,20.63,67.38,5.9,96.92
2005,8,7,2.66,31.66,32.37,18.43,62.5,0.52,96.95
2005,8,8,2.32,31.5,32.36,17.52,60.19,0.01,97.31
2005,8,9,3.17,31.57,32.34,15.93,54.69,0.0,97.46
2005,8,10,3.71,32.19,32.75,15.32,50.88,0.0,97.3
2005,8,11,3.38,32.18,32.82,15.93,52.44,0.0,97.19
2005,8,12,2.58,32.62,33.34,15.26,49.56,0.0,97.31
2005,8,13,2.02,32.95,33.76,17.15,54.06,0.01,97.36
2005,8,14,3.16,33.93,34.7,16.91,51.06,0.14,97.2
2005,8,15,2.3,32.79,33.3,16.97,53.69,0.5,97.24
2005,8,16,1.43,32.76,33.65,18.37,58.69,2.48,97.33
2005,8,17,1.53,30.58,31.64,18.68,67.12,1.56,97.42
2005,8,18,1.62,33.01,34.04,17.64,57.06,0.08,97.36
2005,8,19,2.56,31.89,32.33,17.33,57.31,1.43,97.36
2005,8,20,1.86,31.51,31.42,18.8,63.69,35.38,97.36
2005,8,21,1.83,32.64,33.08,18.07,59.31,2.78,97.34
2005,8,22,2.35,32.87,33.31,15.99,51.75,0.15,97.51
2005,8,23,2.82,32.66,32.94,14.16,46.25,0.07,97.58
2005,8,24,3.66,32.49,32.74,13.73,45.06,0.98,97.53
2005,8,25,3.15,32.21,32.64,13.85,46.56,0.05,97.52
2005,8,26,2.81,32.08,32.72,13.79,46.56,0.52,97.65
2005,8,27,2.19,32.3,32.93,13.43,45.12,0.0,97.69
2005,8,28,2.51,31.99,32.56,12.27,42.88,0.05,97.73
2005,8,29,3.57,32.19,32.64,11.29,38.69,0.0,97.78
