-BEGIN HEADER-,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,
Dates (month/day/year): 07/01/2012 through 10/31/2012 ,,,,,,,,,
Location: Latitude  28.42   Longitude 77.0 ,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,
Parameter(s): ,,,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,,,
-END HEADER-,,,,,,,,,
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2012,7,1,3.23,39.04,41.22,9.58,22,0,96.93
2012,7,2,2.79,40.15,42.84,10.19,22.19,0.41,96.9
2012,7,3,2.71,40.05,43.37,13.55,29.56,0.41,96.67
2012,7,4,4.15,35.78,38.55,15.81,42.62,0.1,96.71
2012,7,5,2.44,37.76,40.36,15.26,38.5,1.35,96.82
2012,7,6,2.27,33.46,34.6,19.35,58.81,23.22,96.89
2012,7,7,2.48,30.39,31.17,19.23,69.12,4.17,96.91
2012,7,8,2.08,32.61,34.65,17.82,57.81,2.51,97.03
2012,7,9,2.5,32.2,34,19.23,63.31,4.34,97.19
2012,7,10,2.8,32.21,33.62,18.92,61.81,3.86,97.27
2012,7,11,3.3,30.32,30.76,20.39,73.38,4.48,97.23
2012,7,12,1.8,32.81,34.64,18.86,59.94,2.35,97.25
2012,7,13,2.49,32.91,33.99,19.17,60,9.83,97.14
